ID,Composition,Space group number,a,b,c,alpha,beta,gamma,Ionic conductivity (S cm-1),DOI,CIF,Synthesis Method
d7f,Li12.0Bi4.0O16.0,136,8.75298,8.75298,4.22469,90.0,90.0,90.0,4.1e-10,10.1016/j.ssi.2015.10.016,Close Match,"1.  **Method Name:** Solid State Reaction (also referred to as Ceramic Synthesis)

2.  **Procedure Summary:**
    The synthesis involved preparing an intimate mixture of bismuth oxide (Bi2O3) and lithium oxide (Li2O) as precursors. A 10 mol% excess of Li2O was used relative to the stoichiometric Bi:Li ratio required for the desired final oxide phase. This mixture was then ball milled for 30 minutes using a Spex Miller, with the stainless steel milling jars being filled and emptied in an argon-filled glove box to maintain an inert atmosphere. The resulting milled powder was pressed into pellets, each with a diameter of 13 mm and a thickness of 3 mm. These pellets were subsequently heated in a quartz crucible under specific temperature, duration, and atmospheric conditions to form the final lithium bismuth oxide compounds.

3.  **Key Conditions:**
    *   **Li24.0Bi8.0O24.0 (Li3BiO3):** Heated at 450 °C for 16 hours under Argon flow.
    *   **Li10.0Bi2.0O10.0 (Li5BiO5):** Heated at 650 °C for 24 hours in air.
    *   **Li8.0Bi8.0O16.0 (LiBiO2):** Heated at 500 °C for 24 hours in air.
    *   **Li12.0Bi4.0O16.0 (Li3BiO4):** Heated at 500 °C for 24 hours in air."
52b,Li20.1Ge2.1P3.9S24.0,137,8.6944,8.6944,12.6003,90.0,90.0,90.0,0.0122,10.1039/c4ta05231e,No Match,"**Method Name:** Solid-State Reaction

**Procedure Summary:**
The Li-Ge-P-S solid solution materials were synthesized through a multi-step solid-state reaction process. First, the precursor powders (P₂S₅, Li₂S, and GeS₂) were precisely weighed according to the desired stoichiometry and thoroughly ground in a vibrating mill for 30 minutes. This mixed powder was then pressed into pellets under high pressure. These pellets were sealed in a silica tube under reduced pressure and subjected to an initial heat treatment. After cooling, the resulting products were reground and remixed, then repelletized under the same high pressure. A second heat treatment was performed on these pellets. Finally, for ionic conductivity measurements, samples were pelletized again under slightly lower pressure and subjected to a third, higher temperature sintering step.

**Key Conditions:**
*   **Precursors:** P₂S₅ (99% purity), Li₂S (>99.9% purity), GeS₂ (>99.99% purity).
*   **Initial Grinding:** Vibrating mill for 30 minutes.
*   **First Pelletization:** 220 MPa.
*   **First Heat Treatment:**
    *   Atmosphere: Sealed in a silica tube at 30 Pa (vacuum).
    *   Temperature: 673 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 2.2 K min⁻¹.
    *   Cooling Rate: 0.60 K min⁻¹.
*   **Second Pelletization:** 220 MPa.
*   **Second Heat Treatment:**
    *   Atmosphere: Sealed in a silica tube (implied vacuum/inert atmosphere).
    *   Temperature: 823 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 3.0 K min⁻¹.
    *   Cooling Rate: 0.76 K min⁻¹.
*   **Final Sintering (for conductivity samples):**
    *   Pelletization Pressure: 165 MPa.
    *   Atmosphere: Sealed in a silica tube (implied vacuum/inert atmosphere).
    *   Temperature: 873 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 3.3 K min⁻¹.
    *   Cooling Rate: 0.83 K min⁻¹."
8po,Li20.4Ge2.4P3.6S24.0,137,8.7043,8.7043,12.616,90.0,90.0,90.0,0.0132,10.1039/c4ta05231e,No Match,"**Method Name:** Solid-State Reaction

**Procedure Summary:**
The Li-Ge-P-S solid solution materials were synthesized through a multi-step solid-state reaction process. First, the precursor powders (P₂S₅, Li₂S, and GeS₂) were precisely weighed according to the desired stoichiometry and thoroughly ground in a vibrating mill for 30 minutes. This mixed powder was then pressed into pellets under high pressure. These pellets were sealed in a silica tube under reduced pressure and subjected to an initial heat treatment. After cooling, the resulting products were reground and remixed, then repelletized under the same high pressure. A second heat treatment was performed on these pellets. Finally, for ionic conductivity measurements, samples were pelletized again under slightly lower pressure and subjected to a third, higher temperature sintering step.

**Key Conditions:**
*   **Precursors:** P₂S₅ (99% purity), Li₂S (>99.9% purity), GeS₂ (>99.99% purity).
*   **Initial Grinding:** Vibrating mill for 30 minutes.
*   **First Pelletization:** 220 MPa.
*   **First Heat Treatment:**
    *   Atmosphere: Sealed in a silica tube at 30 Pa (vacuum).
    *   Temperature: 673 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 2.2 K min⁻¹.
    *   Cooling Rate: 0.60 K min⁻¹.
*   **Second Pelletization:** 220 MPa.
*   **Second Heat Treatment:**
    *   Atmosphere: Sealed in a silica tube (implied vacuum/inert atmosphere).
    *   Temperature: 823 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 3.0 K min⁻¹.
    *   Cooling Rate: 0.76 K min⁻¹.
*   **Final Sintering (for conductivity samples):**
    *   Pelletization Pressure: 165 MPa.
    *   Atmosphere: Sealed in a silica tube (implied vacuum/inert atmosphere).
    *   Temperature: 873 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 3.3 K min⁻¹.
    *   Cooling Rate: 0.83 K min⁻¹."
ya8,Li21.0Ge3.0P3.0S24.0,137,8.7025,8.7025,12.6251,90.0,90.0,90.0,0.011,10.1039/c4ta05231e,No Match,"**Method Name:** Solid-State Reaction

**Procedure Summary:**
The Li-Ge-P-S solid solution materials were synthesized through a multi-step solid-state reaction process. First, the precursor powders (P₂S₅, Li₂S, and GeS₂) were precisely weighed according to the desired stoichiometry and thoroughly ground in a vibrating mill for 30 minutes. This mixed powder was then pressed into pellets under high pressure. These pellets were sealed in a silica tube under reduced pressure and subjected to an initial heat treatment. After cooling, the resulting products were reground and remixed, then repelletized under the same high pressure. A second heat treatment was performed on these pellets. Finally, for ionic conductivity measurements, samples were pelletized again under slightly lower pressure and subjected to a third, higher temperature sintering step.

**Key Conditions:**
*   **Precursors:** P₂S₅ (99% purity), Li₂S (>99.9% purity), GeS₂ (>99.99% purity).
*   **Initial Grinding:** Vibrating mill for 30 minutes.
*   **First Pelletization:** 220 MPa.
*   **First Heat Treatment:**
    *   Atmosphere: Sealed in a silica tube at 30 Pa (vacuum).
    *   Temperature: 673 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 2.2 K min⁻¹.
    *   Cooling Rate: 0.60 K min⁻¹.
*   **Second Pelletization:** 220 MPa.
*   **Second Heat Treatment:**
    *   Atmosphere: Sealed in a silica tube (implied vacuum/inert atmosphere).
    *   Temperature: 823 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 3.0 K min⁻¹.
    *   Cooling Rate: 0.76 K min⁻¹.
*   **Final Sintering (for conductivity samples):**
    *   Pelletization Pressure: 165 MPa.
    *   Atmosphere: Sealed in a silica tube (implied vacuum/inert atmosphere).
    *   Temperature: 873 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 3.3 K min⁻¹.
    *   Cooling Rate: 0.83 K min⁻¹."
j8q,Li20.0Ge2.0P4.0S24.0,137,8.719,8.719,12.639,90.0,90.0,90.0,0.0121,10.1039/c4ta05231e|10.1021/acs.chemmater.7b00886,Close Match,"**Method Name:** Solid-State Reaction

**Procedure Summary:**
The Li-Ge-P-S solid solution materials were synthesized through a multi-step solid-state reaction process. First, the precursor powders (P₂S₅, Li₂S, and GeS₂) were precisely weighed according to the desired stoichiometry and thoroughly ground in a vibrating mill for 30 minutes. This mixed powder was then pressed into pellets under high pressure. These pellets were sealed in a silica tube under reduced pressure and subjected to an initial heat treatment. After cooling, the resulting products were reground and remixed, then repelletized under the same high pressure. A second heat treatment was performed on these pellets. Finally, for ionic conductivity measurements, samples were pelletized again under slightly lower pressure and subjected to a third, higher temperature sintering step.

**Key Conditions:**
*   **Precursors:** P₂S₅ (99% purity), Li₂S (>99.9% purity), GeS₂ (>99.99% purity).
*   **Initial Grinding:** Vibrating mill for 30 minutes.
*   **First Pelletization:** 220 MPa.
*   **First Heat Treatment:**
    *   Atmosphere: Sealed in a silica tube at 30 Pa (vacuum).
    *   Temperature: 673 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 2.2 K min⁻¹.
    *   Cooling Rate: 0.60 K min⁻¹.
*   **Second Pelletization:** 220 MPa.
*   **Second Heat Treatment:**
    *   Atmosphere: Sealed in a silica tube (implied vacuum/inert atmosphere).
    *   Temperature: 823 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 3.0 K min⁻¹.
    *   Cooling Rate: 0.76 K min⁻¹.
*   **Final Sintering (for conductivity samples):**
    *   Pelletization Pressure: 165 MPa.
    *   Atmosphere: Sealed in a silica tube (implied vacuum/inert atmosphere).
    *   Temperature: 873 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 3.3 K min⁻¹.
    *   Cooling Rate: 0.83 K min⁻¹."
824,Li20.7Ge2.7P3.3S24.0,137,8.71302,8.71302,12.6397,90.0,90.0,90.0,0.0144,10.1039/c4ta05231e,Match,"**Method Name:** Solid-State Reaction

**Procedure Summary:**
The Li-Ge-P-S solid solution materials were synthesized through a multi-step solid-state reaction process. First, the precursor powders (P₂S₅, Li₂S, and GeS₂) were precisely weighed according to the desired stoichiometry and thoroughly ground in a vibrating mill for 30 minutes. This mixed powder was then pressed into pellets under high pressure. These pellets were sealed in a silica tube under reduced pressure and subjected to an initial heat treatment. After cooling, the resulting products were reground and remixed, then repelletized under the same high pressure. A second heat treatment was performed on these pellets. Finally, for ionic conductivity measurements, samples were pelletized again under slightly lower pressure and subjected to a third, higher temperature sintering step.

**Key Conditions:**
*   **Precursors:** P₂S₅ (99% purity), Li₂S (>99.9% purity), GeS₂ (>99.99% purity).
*   **Initial Grinding:** Vibrating mill for 30 minutes.
*   **First Pelletization:** 220 MPa.
*   **First Heat Treatment:**
    *   Atmosphere: Sealed in a silica tube at 30 Pa (vacuum).
    *   Temperature: 673 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 2.2 K min⁻¹.
    *   Cooling Rate: 0.60 K min⁻¹.
*   **Second Pelletization:** 220 MPa.
*   **Second Heat Treatment:**
    *   Atmosphere: Sealed in a silica tube (implied vacuum/inert atmosphere).
    *   Temperature: 823 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 3.0 K min⁻¹.
    *   Cooling Rate: 0.76 K min⁻¹.
*   **Final Sintering (for conductivity samples):**
    *   Pelletization Pressure: 165 MPa.
    *   Atmosphere: Sealed in a silica tube (implied vacuum/inert atmosphere).
    *   Temperature: 873 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 3.3 K min⁻¹.
    *   Cooling Rate: 0.83 K min⁻¹."
mqo,Li20.7Si2.7P3.3S24.0,137,8.66958,8.66958,12.5361,90.0,90.0,90.0,0.00673,10.1039/c4fd00143e,No Match,"**Method Name:**
Conventional Solid-State Reaction

**Procedure Summary:**
The synthesis began with weighing high-purity starting materials: Li₂S, P₂S₅, and either SiS₂ (for silicon-containing materials) or SnS₂ (for tin-containing materials). These precursors were weighed in appropriate molar ratios inside an argon-filled glove box to prevent degradation. The weighed materials were then thoroughly mixed using a planetary ball-mill for 40 hours. Following mixing, the powdered specimens were pressed into pellets. These pellets were subsequently sealed in a carbon-coated quartz tube under vacuum, specifically at a pressure of 10 Pa. The sealed tubes were then heated in a furnace at a reaction temperature of 823 K for a duration of 3 days. After the heating period, the tubes were allowed to cool slowly to room temperature.

**Key Conditions:**
*   **Precursor Handling Atmosphere:** Ar-filled glove box
*   **Mixing Method:** Planetary ball-milling
*   **Mixing Duration:** 40 hours
*   **Reaction Vessel:** Carbon-coated quartz tube
*   **Reaction Atmosphere/Pressure:** Sealed under vacuum at 10 Pa
*   **Reaction Temperature:** 823 K
*   **Reaction Dwell Time:** 3 days
*   **Cooling:** Slow cooling to room temperature"
izs,Li20.85Si2.85P3.15S24.0,137,8.672,8.672,12.536,90.0,90.0,90.0,0.00527,10.1039/c4fd00143e,No Match,"**Method Name:**
Conventional Solid-State Reaction

**Procedure Summary:**
The synthesis began with weighing high-purity starting materials: Li₂S, P₂S₅, and either SiS₂ (for silicon-containing materials) or SnS₂ (for tin-containing materials). These precursors were weighed in appropriate molar ratios inside an argon-filled glove box to prevent degradation. The weighed materials were then thoroughly mixed using a planetary ball-mill for 40 hours. Following mixing, the powdered specimens were pressed into pellets. These pellets were subsequently sealed in a carbon-coated quartz tube under vacuum, specifically at a pressure of 10 Pa. The sealed tubes were then heated in a furnace at a reaction temperature of 823 K for a duration of 3 days. After the heating period, the tubes were allowed to cool slowly to room temperature.

**Key Conditions:**
*   **Precursor Handling Atmosphere:** Ar-filled glove box
*   **Mixing Method:** Planetary ball-milling
*   **Mixing Duration:** 40 hours
*   **Reaction Vessel:** Carbon-coated quartz tube
*   **Reaction Atmosphere/Pressure:** Sealed under vacuum at 10 Pa
*   **Reaction Temperature:** 823 K
*   **Reaction Dwell Time:** 3 days
*   **Cooling:** Slow cooling to room temperature"
8nc,Li20.55Si2.55P3.45S24.0,137,8.653,8.653,12.51,90.0,90.0,90.0,0.00565,10.1039/c4fd00143e,No Match,"**Method Name:**
Conventional Solid-State Reaction

**Procedure Summary:**
The synthesis began with weighing high-purity starting materials: Li₂S, P₂S₅, and either SiS₂ (for silicon-containing materials) or SnS₂ (for tin-containing materials). These precursors were weighed in appropriate molar ratios inside an argon-filled glove box to prevent degradation. The weighed materials were then thoroughly mixed using a planetary ball-mill for 40 hours. Following mixing, the powdered specimens were pressed into pellets. These pellets were subsequently sealed in a carbon-coated quartz tube under vacuum, specifically at a pressure of 10 Pa. The sealed tubes were then heated in a furnace at a reaction temperature of 823 K for a duration of 3 days. After the heating period, the tubes were allowed to cool slowly to room temperature.

**Key Conditions:**
*   **Precursor Handling Atmosphere:** Ar-filled glove box
*   **Mixing Method:** Planetary ball-milling
*   **Mixing Duration:** 40 hours
*   **Reaction Vessel:** Carbon-coated quartz tube
*   **Reaction Atmosphere/Pressure:** Sealed under vacuum at 10 Pa
*   **Reaction Temperature:** 823 K
*   **Reaction Dwell Time:** 3 days
*   **Cooling:** Slow cooling to room temperature"
3sx,Li20.4Si2.4P3.6S24.0,137,8.644,8.644,12.504,90.0,90.0,90.0,0.00421,10.1039/c4fd00143e,No Match,"**Method Name:**
Conventional Solid-State Reaction

**Procedure Summary:**
The synthesis began with weighing high-purity starting materials: Li₂S, P₂S₅, and either SiS₂ (for silicon-containing materials) or SnS₂ (for tin-containing materials). These precursors were weighed in appropriate molar ratios inside an argon-filled glove box to prevent degradation. The weighed materials were then thoroughly mixed using a planetary ball-mill for 40 hours. Following mixing, the powdered specimens were pressed into pellets. These pellets were subsequently sealed in a carbon-coated quartz tube under vacuum, specifically at a pressure of 10 Pa. The sealed tubes were then heated in a furnace at a reaction temperature of 823 K for a duration of 3 days. After the heating period, the tubes were allowed to cool slowly to room temperature.

**Key Conditions:**
*   **Precursor Handling Atmosphere:** Ar-filled glove box
*   **Mixing Method:** Planetary ball-milling
*   **Mixing Duration:** 40 hours
*   **Reaction Vessel:** Carbon-coated quartz tube
*   **Reaction Atmosphere/Pressure:** Sealed under vacuum at 10 Pa
*   **Reaction Temperature:** 823 K
*   **Reaction Dwell Time:** 3 days
*   **Cooling:** Slow cooling to room temperature"
xga,Li20.01Sn1.98P4.02S24.0,137,8.743,8.743,12.782,90.0,90.0,90.0,0.00373,10.1039/c4fd00143e,No Match,"**Method Name:**
Conventional Solid-State Reaction

**Procedure Summary:**
The synthesis began with weighing high-purity starting materials: Li₂S, P₂S₅, and either SiS₂ (for silicon-containing materials) or SnS₂ (for tin-containing materials). These precursors were weighed in appropriate molar ratios inside an argon-filled glove box to prevent degradation. The weighed materials were then thoroughly mixed using a planetary ball-mill for 40 hours. Following mixing, the powdered specimens were pressed into pellets. These pellets were subsequently sealed in a carbon-coated quartz tube under vacuum, specifically at a pressure of 10 Pa. The sealed tubes were then heated in a furnace at a reaction temperature of 823 K for a duration of 3 days. After the heating period, the tubes were allowed to cool slowly to room temperature.

**Key Conditions:**
*   **Precursor Handling Atmosphere:** Ar-filled glove box
*   **Mixing Method:** Planetary ball-milling
*   **Mixing Duration:** 40 hours
*   **Reaction Vessel:** Carbon-coated quartz tube
*   **Reaction Atmosphere/Pressure:** Sealed under vacuum at 10 Pa
*   **Reaction Temperature:** 823 K
*   **Reaction Dwell Time:** 3 days
*   **Cooling:** Slow cooling to room temperature"
xn9,Li19.8Sn1.8P4.2S24.0,137,8.731,8.731,12.768,90.0,90.0,90.0,0.00365,10.1039/c4fd00143e,No Match,"**Method Name:**
Conventional Solid-State Reaction

**Procedure Summary:**
The synthesis began with weighing high-purity starting materials: Li₂S, P₂S₅, and either SiS₂ (for silicon-containing materials) or SnS₂ (for tin-containing materials). These precursors were weighed in appropriate molar ratios inside an argon-filled glove box to prevent degradation. The weighed materials were then thoroughly mixed using a planetary ball-mill for 40 hours. Following mixing, the powdered specimens were pressed into pellets. These pellets were subsequently sealed in a carbon-coated quartz tube under vacuum, specifically at a pressure of 10 Pa. The sealed tubes were then heated in a furnace at a reaction temperature of 823 K for a duration of 3 days. After the heating period, the tubes were allowed to cool slowly to room temperature.

**Key Conditions:**
*   **Precursor Handling Atmosphere:** Ar-filled glove box
*   **Mixing Method:** Planetary ball-milling
*   **Mixing Duration:** 40 hours
*   **Reaction Vessel:** Carbon-coated quartz tube
*   **Reaction Atmosphere/Pressure:** Sealed under vacuum at 10 Pa
*   **Reaction Temperature:** 823 K
*   **Reaction Dwell Time:** 3 days
*   **Cooling:** Slow cooling to room temperature"
sg4,Li19.71Sn1.68P4.32S24.0,137,8.721,8.721,12.725,90.0,90.0,90.0,0.00436,10.1039/c4fd00143e,No Match,"**Method Name:**
Conventional Solid-State Reaction

**Procedure Summary:**
The synthesis began with weighing high-purity starting materials: Li₂S, P₂S₅, and either SiS₂ (for silicon-containing materials) or SnS₂ (for tin-containing materials). These precursors were weighed in appropriate molar ratios inside an argon-filled glove box to prevent degradation. The weighed materials were then thoroughly mixed using a planetary ball-mill for 40 hours. Following mixing, the powdered specimens were pressed into pellets. These pellets were subsequently sealed in a carbon-coated quartz tube under vacuum, specifically at a pressure of 10 Pa. The sealed tubes were then heated in a furnace at a reaction temperature of 823 K for a duration of 3 days. After the heating period, the tubes were allowed to cool slowly to room temperature.

**Key Conditions:**
*   **Precursor Handling Atmosphere:** Ar-filled glove box
*   **Mixing Method:** Planetary ball-milling
*   **Mixing Duration:** 40 hours
*   **Reaction Vessel:** Carbon-coated quartz tube
*   **Reaction Atmosphere/Pressure:** Sealed under vacuum at 10 Pa
*   **Reaction Temperature:** 823 K
*   **Reaction Dwell Time:** 3 days
*   **Cooling:** Slow cooling to room temperature"
ns3,Li19.62Sn1.62P4.38S24.0,137,8.7405,8.7405,12.715,90.0,90.0,90.0,0.00496,10.1039/c4fd00143e,No Match,"**Method Name:**
Conventional Solid-State Reaction

**Procedure Summary:**
The synthesis began with weighing high-purity starting materials: Li₂S, P₂S₅, and either SiS₂ (for silicon-containing materials) or SnS₂ (for tin-containing materials). These precursors were weighed in appropriate molar ratios inside an argon-filled glove box to prevent degradation. The weighed materials were then thoroughly mixed using a planetary ball-mill for 40 hours. Following mixing, the powdered specimens were pressed into pellets. These pellets were subsequently sealed in a carbon-coated quartz tube under vacuum, specifically at a pressure of 10 Pa. The sealed tubes were then heated in a furnace at a reaction temperature of 823 K for a duration of 3 days. After the heating period, the tubes were allowed to cool slowly to room temperature.

**Key Conditions:**
*   **Precursor Handling Atmosphere:** Ar-filled glove box
*   **Mixing Method:** Planetary ball-milling
*   **Mixing Duration:** 40 hours
*   **Reaction Vessel:** Carbon-coated quartz tube
*   **Reaction Atmosphere/Pressure:** Sealed under vacuum at 10 Pa
*   **Reaction Temperature:** 823 K
*   **Reaction Dwell Time:** 3 days
*   **Cooling:** Slow cooling to room temperature"
g8j,Li19.56Sn1.56P4.44S24.0,137,8.737,8.737,12.713,90.0,90.0,90.0,0.00453,10.1039/c4fd00143e,No Match,"**Method Name:**
Conventional Solid-State Reaction

**Procedure Summary:**
The synthesis began with weighing high-purity starting materials: Li₂S, P₂S₅, and either SiS₂ (for silicon-containing materials) or SnS₂ (for tin-containing materials). These precursors were weighed in appropriate molar ratios inside an argon-filled glove box to prevent degradation. The weighed materials were then thoroughly mixed using a planetary ball-mill for 40 hours. Following mixing, the powdered specimens were pressed into pellets. These pellets were subsequently sealed in a carbon-coated quartz tube under vacuum, specifically at a pressure of 10 Pa. The sealed tubes were then heated in a furnace at a reaction temperature of 823 K for a duration of 3 days. After the heating period, the tubes were allowed to cool slowly to room temperature.

**Key Conditions:**
*   **Precursor Handling Atmosphere:** Ar-filled glove box
*   **Mixing Method:** Planetary ball-milling
*   **Mixing Duration:** 40 hours
*   **Reaction Vessel:** Carbon-coated quartz tube
*   **Reaction Atmosphere/Pressure:** Sealed under vacuum at 10 Pa
*   **Reaction Temperature:** 823 K
*   **Reaction Dwell Time:** 3 days
*   **Cooling:** Slow cooling to room temperature"
bim,Li19.5Sn1.5P4.5S24.0,137,8.722,8.722,12.72,90.0,90.0,90.0,0.0036,10.1039/c4fd00143e,No Match,"**Method Name:**
Conventional Solid-State Reaction

**Procedure Summary:**
The synthesis began with weighing high-purity starting materials: Li₂S, P₂S₅, and either SiS₂ (for silicon-containing materials) or SnS₂ (for tin-containing materials). These precursors were weighed in appropriate molar ratios inside an argon-filled glove box to prevent degradation. The weighed materials were then thoroughly mixed using a planetary ball-mill for 40 hours. Following mixing, the powdered specimens were pressed into pellets. These pellets were subsequently sealed in a carbon-coated quartz tube under vacuum, specifically at a pressure of 10 Pa. The sealed tubes were then heated in a furnace at a reaction temperature of 823 K for a duration of 3 days. After the heating period, the tubes were allowed to cool slowly to room temperature.

**Key Conditions:**
*   **Precursor Handling Atmosphere:** Ar-filled glove box
*   **Mixing Method:** Planetary ball-milling
*   **Mixing Duration:** 40 hours
*   **Reaction Vessel:** Carbon-coated quartz tube
*   **Reaction Atmosphere/Pressure:** Sealed under vacuum at 10 Pa
*   **Reaction Temperature:** 823 K
*   **Reaction Dwell Time:** 3 days
*   **Cooling:** Slow cooling to room temperature"
mtn,Li20.0Ge2.0P4.0S24.0,137,8.71121,8.71121,12.6078,90.0,90.0,90.0,0.0246,10.1021/acs.chemmater.8b00266,Match,"**1. Method Name:**
Solid-State Reaction with Mechanochemical Activation (Ball Milling)

**2. Procedure Summary:**
The materials were synthesized by mixing stoichiometric amounts of lithium sulfide (Li2S), phosphorus pentasulfide (P2S5), elemental sulfur (S8), germanium sulfide (GeS), and tin sulfide (SnS). An additional 3 wt% excess of sulfur was included to compensate for potential loss during high-temperature processing. This mixture was then subjected to high-energy ball milling to create a uniform precursor. The resulting powder was pressed into pellets, which were subsequently sealed under vacuum in quartz ampoules. These ampoules underwent a two-stage heat treatment: an initial annealing step followed by cooling. For the specific composition Li10SnP2S12 (Li20.0Sn2.0P4.0S24.0), an additional reheating step was performed to minimize side phases. Finally, the annealed powder was ground and isostatically pressed into pellets for further characterization.

**3. Key Conditions:**
*   **Atmosphere:** All preparations and sample treatments were carried out under an argon atmosphere (O2 < 1 ppm, H2O < 5 ppm). Pellets were sealed under vacuum in quartz ampoules.
*   **Ball Milling:**
    *   Equipment: Fritsch Pulveristette 7 premium line.
    *   Speed: 400 rpm.
    *   Duration: 48 hours, with intermediate cooling times (15 minutes cooling after every 10 minutes of milling).
    *   Milling Media: ZrO2 milling set (80 mL bowl, 90 g of 3 mm diameter balls).
*   **First Heat Treatment (for all compositions):**
    *   Temperature: Heated to 773 K (500 °C).
    *   Heating Rate: 27 K·h−1.
    *   Dwell Time: Annealed for 20 hours.
    *   Cooling: Cooled to room temperature.
*   **Second Heat Treatment (for Li10SnP2S12 only):**
    *   Temperature: Reheated at 873 K (600 °C).
    *   Heating Rate: 50 K·h−1.
    *   Dwell Time: 48 hours."
9rc,Li20.0Ge1.55Sn0.45P4.0S24.0,137,8.71859,8.71859,12.6514,90.0,90.0,90.0,0.0141,10.1021/acs.chemmater.8b00266,Match,"**1. Method Name:**
Solid-State Reaction with Mechanochemical Activation (Ball Milling)

**2. Procedure Summary:**
The materials were synthesized by mixing stoichiometric amounts of lithium sulfide (Li2S), phosphorus pentasulfide (P2S5), elemental sulfur (S8), germanium sulfide (GeS), and tin sulfide (SnS). An additional 3 wt% excess of sulfur was included to compensate for potential loss during high-temperature processing. This mixture was then subjected to high-energy ball milling to create a uniform precursor. The resulting powder was pressed into pellets, which were subsequently sealed under vacuum in quartz ampoules. These ampoules underwent a two-stage heat treatment: an initial annealing step followed by cooling. For the specific composition Li10SnP2S12 (Li20.0Sn2.0P4.0S24.0), an additional reheating step was performed to minimize side phases. Finally, the annealed powder was ground and isostatically pressed into pellets for further characterization.

**3. Key Conditions:**
*   **Atmosphere:** All preparations and sample treatments were carried out under an argon atmosphere (O2 < 1 ppm, H2O < 5 ppm). Pellets were sealed under vacuum in quartz ampoules.
*   **Ball Milling:**
    *   Equipment: Fritsch Pulveristette 7 premium line.
    *   Speed: 400 rpm.
    *   Duration: 48 hours, with intermediate cooling times (15 minutes cooling after every 10 minutes of milling).
    *   Milling Media: ZrO2 milling set (80 mL bowl, 90 g of 3 mm diameter balls).
*   **First Heat Treatment (for all compositions):**
    *   Temperature: Heated to 773 K (500 °C).
    *   Heating Rate: 27 K·h−1.
    *   Dwell Time: Annealed for 20 hours.
    *   Cooling: Cooled to room temperature.
*   **Second Heat Treatment (for Li10SnP2S12 only):**
    *   Temperature: Reheated at 873 K (600 °C).
    *   Heating Rate: 50 K·h−1.
    *   Dwell Time: 48 hours."
13q,Li20.0Sn2.0P4.0S24.0,137,8.73685,8.73685,12.7573,90.0,90.0,90.0,0.00398,10.1021/acs.chemmater.8b00266,Match,"**1. Method Name:**
Solid-State Reaction with Mechanochemical Activation (Ball Milling)

**2. Procedure Summary:**
The materials were synthesized by mixing stoichiometric amounts of lithium sulfide (Li2S), phosphorus pentasulfide (P2S5), elemental sulfur (S8), germanium sulfide (GeS), and tin sulfide (SnS). An additional 3 wt% excess of sulfur was included to compensate for potential loss during high-temperature processing. This mixture was then subjected to high-energy ball milling to create a uniform precursor. The resulting powder was pressed into pellets, which were subsequently sealed under vacuum in quartz ampoules. These ampoules underwent a two-stage heat treatment: an initial annealing step followed by cooling. For the specific composition Li10SnP2S12 (Li20.0Sn2.0P4.0S24.0), an additional reheating step was performed to minimize side phases. Finally, the annealed powder was ground and isostatically pressed into pellets for further characterization.

**3. Key Conditions:**
*   **Atmosphere:** All preparations and sample treatments were carried out under an argon atmosphere (O2 < 1 ppm, H2O < 5 ppm). Pellets were sealed under vacuum in quartz ampoules.
*   **Ball Milling:**
    *   Equipment: Fritsch Pulveristette 7 premium line.
    *   Speed: 400 rpm.
    *   Duration: 48 hours, with intermediate cooling times (15 minutes cooling after every 10 minutes of milling).
    *   Milling Media: ZrO2 milling set (80 mL bowl, 90 g of 3 mm diameter balls).
*   **First Heat Treatment (for all compositions):**
    *   Temperature: Heated to 773 K (500 °C).
    *   Heating Rate: 27 K·h−1.
    *   Dwell Time: Annealed for 20 hours.
    *   Cooling: Cooled to room temperature.
*   **Second Heat Treatment (for Li10SnP2S12 only):**
    *   Temperature: Reheated at 873 K (600 °C).
    *   Heating Rate: 50 K·h−1.
    *   Dwell Time: 48 hours."
