Abbreviation,Full Name,Material Type,Composition,Processing Method,Source Node ID,Source Node Title,Source Node Type,Source Section
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0137,Characterization Techniques and Data Analysis,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0138,Composite Electrolyte Preparation and Characterization Overview,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0149,Analysis of LiTFSI Resonance Broadening,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0159,Li-ion Mobility Analysis via T1 Relaxation Times,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0169,Investigation of Li-ion Transport Pathways via Isotope Replacement,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0170,Symmetric Cell Fabrication and Electrochemical Cycling,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0171,Symmetric Cell Fabrication and Electrochemical Cycling,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0181,NMR Analysis of Li-ion Transport Pathways,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0182,NMR Analysis of Composite Electrolytes,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0194,Comparison with Previous Studies and Influence of Li Salts,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0195,Additional Content (1),semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0203,Comparison of Li-ion Transport Pathways with Different Li Salts,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0214,Effect of TEGDME Plasticizer on Li-ion Pathways,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0225,Summary of Li-ion Transport Pathways and Charge Carrier Contributions,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0226,Li-ion Pathways in LLZO-PEO Composites,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0227,Composite Electrolyte Behavior,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0236,Sources of Active Li Ions,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0249,Analysis of Factors Affecting Ionic Conductivity,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0250,Analysis of Ionic Conductivity,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0251,Analysis of Ionic Conductivity,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0262,Electrochemical Impedance Spectroscopy (EIS) Measurements of Ionic Conductivity,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0263,Electrochemical Impedance Spectroscopy (EIS) Measurements,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0271,Additional Content (1),semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0272,Conductivity Results and Discussion,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0273,Ionic Conductivity of LLZO-PEO Composites with and without TEGDME,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0283,Correlation of NMR Findings with Ionic Conductivity and Stability,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0284,Factors Influencing Ionic Conductivity in Composite Electrolytes,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0295,Electrochemical Stability of Composite Electrolytes with Li Metal Anodes,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0309,Interpretation of Ion Conduction in Composite Electrolytes,semantic_unit,CONCLUSIONS
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0319,Methodology and Significance of Solid-State NMR,semantic_unit,CONCLUSIONS
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0361,References on Battery Electrolytes,semantic_unit,REFERENCES
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0362,Background: Advances in Lithium Battery Electrolytes,semantic_unit,REFERENCES
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0363,Background: Advances in Lithium Battery Electrolytes,semantic_unit,REFERENCES
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0374,Additional Content (2),semantic_unit,REFERENCES
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0375,"References on Doping, Morphology, and Ion Transport in Electrolytes",semantic_unit,REFERENCES
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0376,Background: Literature Review on Composite Electrolytes and Separators,semantic_unit,REFERENCES
LLZO (20 wt %)-PEO,,composite,20 wt % LLZO-PEO; 20 wt % LLZO,,0022,Research Gap: Limitations of Composite Electrolytes and Need for Mechanistic Understanding,semantic_unit,INTRODUCTION
LLZO (20 wt %)-PEO,,composite,20 wt % LLZO-PEO; 20 wt % LLZO,,0035,Publication Details,semantic_unit,INTRODUCTION
LLZO (20 wt %)-PEO (LiTFSI),LLZO-PEO-LiTFSI composite,composite,"20 wt % LLZO in PEO with LiTFSI; LLZO (20 wt %)-PEO (LiTFSI); 20 wt % LLZO, PEO, LiTFSI; 20 wt % LLZO, LiTFSI in PEO; 20 wt % LLZO-PEO (LiTFSI); 20 wt % LLZO, LiTFSI; 20 wt % LLZO",ball-milling mixing,0043,Journal and Figure Description,semantic_unit,INTRODUCTION
LLZO (20 wt %)-PEO (LiTFSI),LLZO-PEO-LiTFSI composite,composite,"20 wt % LLZO in PEO with LiTFSI; LLZO (20 wt %)-PEO (LiTFSI); 20 wt % LLZO, PEO, LiTFSI; 20 wt % LLZO, LiTFSI in PEO; 20 wt % LLZO-PEO (LiTFSI); 20 wt % LLZO, LiTFSI; 20 wt % LLZO",ball-milling mixing,0113,NMR Characterization of Li-ion Environments and Mobility,semantic_unit,RESULTS AND DISCUSSION
LLZO (20 wt %)-PEO (LiTFSI),LLZO-PEO-LiTFSI composite,composite,"20 wt % LLZO in PEO with LiTFSI; LLZO (20 wt %)-PEO (LiTFSI); 20 wt % LLZO, PEO, LiTFSI; 20 wt % LLZO, LiTFSI in PEO; 20 wt % LLZO-PEO (LiTFSI); 20 wt % LLZO, LiTFSI; 20 wt % LLZO",ball-milling mixing,0114,Materials and Sample Preparation,semantic_unit,RESULTS AND DISCUSSION
LLZO (20 wt %)-PEO (LiTFSI),LLZO-PEO-LiTFSI composite,composite,"20 wt % LLZO in PEO with LiTFSI; LLZO (20 wt %)-PEO (LiTFSI); 20 wt % LLZO, PEO, LiTFSI; 20 wt % LLZO, LiTFSI in PEO; 20 wt % LLZO-PEO (LiTFSI); 20 wt % LLZO, LiTFSI; 20 wt % LLZO",ball-milling mixing,0115,Materials and Sample Compositions,semantic_unit,RESULTS AND DISCUSSION
LLZO (20 wt %)-PEO (LiTFSI),LLZO-PEO-LiTFSI composite,composite,"20 wt % LLZO in PEO with LiTFSI; LLZO (20 wt %)-PEO (LiTFSI); 20 wt % LLZO, PEO, LiTFSI; 20 wt % LLZO, LiTFSI in PEO; 20 wt % LLZO-PEO (LiTFSI); 20 wt % LLZO, LiTFSI; 20 wt % LLZO",ball-milling mixing,0137,Characterization Techniques and Data Analysis,semantic_unit,RESULTS AND DISCUSSION
LLZO (20 wt %)-PEO (LiTFSI),LLZO-PEO-LiTFSI composite,composite,"20 wt % LLZO in PEO with LiTFSI; LLZO (20 wt %)-PEO (LiTFSI); 20 wt % LLZO, PEO, LiTFSI; 20 wt % LLZO, LiTFSI in PEO; 20 wt % LLZO-PEO (LiTFSI); 20 wt % LLZO, LiTFSI; 20 wt % LLZO",ball-milling mixing,0169,Investigation of Li-ion Transport Pathways via Isotope Replacement,semantic_unit,RESULTS AND DISCUSSION
